rest,scr,id
9.27,R B' U' R2 F U R2 F' R2 D R B2 R D2 R' F2 U2 B2 L ,113
9.27,F' R' B2 L2 U' D' R U L2 F' R' U2 R' B2 L2 F2 L F2 D2 ,114
9.29,U' R' L2 B2 U' D2 B' U F2 D' F' L2 F2 R2 F U2 L2 F' R2 F' ,115
9.29,B2 F' R2 B' R2 D2 B' R2 U' R2 F U F' L' D F R' F L2 ,116
9.29,R D2 F L U L U B2 U' B' L F2 R2 B2 L B2 R U2 L2 F2 ,117
9.3,L2 R2 U' L2 D' R2 F2 D2 L2 F2 U F' D R2 B2 F2 D' L' F R2 U' ,118
9.3,F2 D2 U2 L2 D2 R B2 F2 D' R2 U2 B' F' L F D' F2 D2 L2 ,119
9.31,D2 B D2 F L2 B' R2 F' U2 R2 D2 U' L2 B U R F2 D2 B2 F' R ,120
9.31,U B2 D L2 D2 U R2 U B2 L B2 D F' D2 L' U B' F U' L ,121
9.32,R2 F D2 F R2 B' R2 F2 R' B2 R' F U' B' F' U' B' F2 ,122
9.32,L2 F2 R2 B2 R2 F' D2 F D R B' F2 U R U2 L' D' U B2 ,123
9.32,B U2 F U2 R2 F' D2 U2 R2 U' B' D L F U2 R D B2 L' R2 ,124
9.32,F2 R D2 R2 U2 R B2 D2 L' U' R B L2 U2 B R D B F ,125
9.32,B' D2 R' L D' R F U2 D F' R2 U2 F2 L2 F' L2 B' U2 R2 F2 ,126
9.32,D' R2 U2 R2 U' R2 D L2 U2 F' R' F2 U' L B L2 U B F2 D' ,127
9.32,B2 U2 L2 U2 L2 F D2 B U2 R' B2 U' R B' L2 B2 R' B F2 D2 ,128
9.34,F2 D F' R D' R2 F' B' U2 L F2 L2 U B2 D' L2 F2 R2 F2 D' R2 ,129
9.34,B2 D2 B' R U' F' D' L' D2 F U2 R2 F2 U2 D2 R' U2 L B2 D2 ,130
9.34,L2 D U' B2 U L2 B2 U F2 L2 R' U B U2 B' D2 R D' F2 ,131
9.35,R2 B2 L2 D B2 U2 F2 U' F2 L' U' R' B' D' F2 U2 F' R2 D ,132
9.35,F2 R' D2 R' F2 L' U2 F2 L D' F' L B D U2 B' U F D' L' ,133
9.36,B R2 F B' R U' L' D2 F U L2 F U2 F2 D2 B' U2 F2 ,134
9.36,B D' F2 B U2 B2 D' F' L D' F B R2 D2 F' B U2 ,135
9.36,U L2 U2 B2 F2 R2 D R2 B' L' F' R B F2 L' D' B R2 F ,136
9.36,R2 U' R2 U B2 R2 U2 F2 U L2 R' D2 U B2 L' B' F2 D2 B' ,137
